                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5629,                 1.1783,                 1.7722,                0.93886,                0.86928,                0.96649,                 0.5725,                 1.4748,                 1.0586,                 1.9319,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.659,                 1.0942,                 1.8329,                0.93697,                0.88889,                0.96436,                0.65115,                  1.272,                 1.0018,                  1.787,               0.001109,               0.001109,               0.001109
                     48,                 1.5941,                   1.12,                 1.7909,                0.95475,                0.94771,                0.98038,                0.64044,                 1.2829,                 1.0186,                 1.7582,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4842,                  1.058,                 1.7242,                0.94817,                0.95661,                0.98629,                0.65634,                 1.2871,                 1.0354,                 1.7431,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.471,                 1.0563,                 1.6622,                 0.9703,                 0.9085,                0.97792,                0.63768,                 1.2898,                0.93349,                 1.7743,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.4946,                 1.0094,                 1.7204,                0.96453,                0.91503,                0.98083,                0.66777,                 1.2369,                0.97365,                 1.7363,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5156,                 1.0119,                 1.7739,                0.92906,                0.93464,                 0.9744,                0.67243,                 1.2775,                0.97603,                 1.7578,                0.00101,                0.00101,                0.00101
                     53,                 1.4998,                 1.0574,                 1.7684,                0.91659,                0.91503,                0.96689,                 0.6171,                 1.4011,                 1.0451,                  1.836,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4126,                0.98803,                 1.6951,                 0.9725,                0.92454,                0.98162,                0.62459,                 1.3902,                0.91423,                  1.831,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5211,                 1.0268,                 1.7396,                0.97948,                0.93585,                0.98419,                0.69242,                 1.1664,                0.87312,                  1.681,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4674,                0.97613,                 1.6982,                0.97875,                0.93464,                0.98433,                0.65755,                 1.2591,                0.90035,                 1.7424,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4572,                0.96159,                 1.6582,                0.98769,                 0.9281,                0.98632,                0.70104,                 1.1648,                0.83902,                  1.673,               0.000911,               0.000911,               0.000911
                     58,                 1.4283,                0.96747,                 1.6348,                0.96776,                0.98098,                0.98971,                0.70038,                 1.1485,                0.81812,                 1.6518,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3519,                0.92417,                 1.6698,                0.94511,                0.98693,                0.98719,                0.70987,                 1.1183,                0.79999,                 1.6281,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.394,                 0.9374,                 1.6353,                 0.9641,                0.96732,                0.98919,                0.68319,                 1.1716,                0.88714,                 1.6542,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3793,                0.91505,                 1.6371,                0.97401,                0.97991,                0.99021,                0.70454,                  1.084,                0.79192,                 1.5839,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4619,                0.96723,                 1.7031,                0.96534,                0.96732,                0.98792,                 0.7182,                 1.1058,                0.79468,                 1.6088,               0.000812,               0.000812,               0.000812
                     63,                 1.3755,                0.91304,                 1.5989,                0.97792,                0.96732,                 0.9899,                 0.6962,                 1.1476,                 0.7944,                 1.6323,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3842,                0.87339,                  1.653,                0.97596,                0.98693,                0.99215,                0.72445,                 1.0839,                0.75616,                 1.5913,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3283,                0.89433,                 1.5883,                0.98691,                0.98693,                0.99072,                0.71062,                 1.1245,                0.75401,                 1.6304,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3848,                0.96354,                 1.6934,                0.96582,                0.98039,                0.98824,                 0.7177,                 1.0662,                0.76049,                 1.6024,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3978,                0.92653,                 1.6563,                 0.9706,                0.98693,                0.98814,                0.70618,                 1.1058,                0.76522,                 1.6126,               0.000713,               0.000713,               0.000713
                     68,                 1.3607,                 0.8453,                 1.6251,                0.96738,                0.96929,                 0.9888,                0.72185,                 1.0583,                   0.74,                 1.5659,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.353,                0.83576,                  1.589,                0.98657,                 0.9604,                0.98785,                0.71065,                 1.0863,                0.75296,                 1.5862,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4349,                0.96511,                 1.6831,                 0.9742,                0.98724,                0.99084,                0.72839,                 1.0738,                0.75478,                 1.5727,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3203,                 0.9262,                 1.6134,                0.95569,                0.98682,                0.99071,                0.71849,                 1.0855,                0.75879,                 1.5788,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3007,                0.89593,                 1.5778,                0.97307,                0.98039,                0.99126,                0.75065,                0.99331,                0.72613,                   1.52,               0.000614,               0.000614,               0.000614
                     73,                 1.1716,                0.76375,                 1.4795,                0.97375,                0.96987,                0.98951,                0.75329,                0.99628,                0.71305,                 1.5159,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3004,                0.83837,                 1.5669,                 0.9784,                0.97386,                0.99117,                0.73178,                 1.0386,                 0.7043,                 1.5352,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3259,                0.83386,                 1.6373,                0.99341,                0.98472,                0.99259,                0.72703,                 1.0557,                0.70504,                 1.5331,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.3276,                0.83384,                 1.6241,                0.99345,                0.99131,                0.99284,                0.75868,                0.93983,                0.69251,                 1.4673,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1835,                0.77467,                 1.5321,                0.98559,                0.98693,                0.99235,                0.74848,                0.95994,                0.69887,                 1.4875,               0.000515,               0.000515,               0.000515
                     78,                 1.2746,                0.79285,                 1.4876,                0.98509,                0.99346,                0.99275,                0.76261,                0.96655,                0.68168,                 1.4865,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2058,                0.78296,                   1.52,                0.98433,                0.99346,                0.99321,                0.76243,                0.95948,                0.64787,                 1.4772,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2513,                0.77457,                 1.5326,                0.99345,                0.99208,                0.99304,                0.76723,                0.96582,                 0.6453,                 1.4737,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1868,                0.75239,                 1.4344,                0.99222,                0.99346,                0.99278,                0.77012,                0.96072,                0.65255,                 1.4715,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1985,                0.77031,                 1.4901,                0.99346,                0.99289,                0.99258,                0.75573,                0.94931,                0.68156,                 1.4703,               0.000416,               0.000416,               0.000416
                     83,                 1.1433,                0.76166,                 1.4665,                0.99204,                0.99346,                0.99304,                0.77761,                0.91694,                 0.6629,                 1.4387,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1038,                0.73374,                 1.4496,                0.99015,                0.99346,                 0.9933,                0.77101,                0.92663,                0.65044,                 1.4289,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1468,                0.77704,                 1.4727,                0.99305,                0.99346,                0.99297,                0.77219,                0.90765,                0.64193,                 1.4122,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1921,                0.74494,                  1.521,                 0.9935,                0.99857,                 0.9924,                0.76747,                 0.9184,                0.64042,                 1.4256,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2049,                0.78894,                 1.5297,                0.99346,                0.99311,                0.99252,                0.76394,                 0.9245,                0.64588,                 1.4346,               0.000317,               0.000317,               0.000317
                     88,                 1.1653,                0.74585,                 1.4604,                0.98074,                 0.9984,                0.99319,                0.78545,                0.88406,                0.64772,                 1.4074,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.181,                0.75959,                 1.4876,                0.98703,                      1,                0.99319,                0.77544,                0.89585,                0.64275,                 1.4084,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1685,                0.77892,                 1.4628,                0.99335,                      1,                0.99377,                 0.7751,                0.88986,                0.63037,                 1.3987,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0406,                0.77437,                 1.4478,                 0.9935,                0.99898,                 0.9937,                0.78712,                0.88079,                0.61604,                 1.3808,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1183,                0.74159,                 1.5776,                 0.9935,                0.99832,                0.99351,                0.77989,                 0.9131,                0.61924,                 1.3916,               0.000218,               0.000218,               0.000218
                     93,                 1.1071,                0.72847,                 1.5246,                 0.9935,                0.99874,                0.99331,                0.78891,                0.88032,                0.62132,                  1.367,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0494,                0.73289,                  1.501,                 0.9935,                0.99903,                0.99344,                0.79691,                0.84619,                0.60824,                 1.3458,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0118,                0.69074,                 1.4215,                0.99207,                0.99346,                0.99356,                0.80461,                 0.8371,                0.60697,                 1.3418,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0932,                0.70582,                 1.5372,                0.99169,                0.99346,                0.99356,                0.79878,                0.84527,                0.60837,                 1.3528,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0264,                 0.7264,                 1.4651,                0.98678,                      1,                0.99343,                0.79951,                0.84293,                0.60377,                 1.3535,               0.000119,               0.000119,               0.000119
                     98,                 1.1271,                0.81313,                 1.5992,                0.98707,                 0.9979,                0.99317,                0.78915,                0.85792,                0.61016,                 1.3667,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0586,                 0.6936,                 1.4748,                  0.987,                      1,                0.99309,                0.79009,                0.85672,                0.61144,                 1.3676,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  1.139,                  0.758,                 1.5342,                 0.9871,                0.99989,                0.99317,                0.79703,                0.83706,                0.60064,                  1.357,               5.96e-05,               5.96e-05,               5.96e-05
